item_code,item_description,MOQ,brand
AB CL-515-Y IND.LAMP,AB CL-515-Y IND.LAMP,,abb
AB CL-523-A IND LAMP (5239),AB CL-523-A IND LAMP (5239),,abb
AB CL-523-G IND LAMP(5232),AB CL-523-G IND LAMP(5232),,abb
AB CL-523-L IND. LAMP (5234),AB CL-523-L IND. LAMP (5234),,abb
AB CL-523-R IND LAMP (5231),AB CL-523-R IND LAMP (5231),,abb
AB CL-523-Y IND. LAMP (5233),AB CL-523-Y IND. LAMP (5233),,abb
AB CM-MPS.41 (1SVR630884R3300),AB CM-MPS.41 (1SVR630884R3300),,abb
AB CP1-10B-01 PUSH BUTTON,AB CP1-10B-01 PUSH BUTTON,,abb
AB CP1-10B-10 PUSH BUTTON,AB CP1-10B-10 PUSH BUTTON,,abb
AB CP1-10 G20  PUSH BUTTON GREEN,AB CP1-10 G20  PUSH BUTTON GREEN,,abb
AB CP1-10R-11 PUSH BUTTON,AB CP1-10R-11 PUSH BUTTON,,abb
AB CP1-10 R20  PUSH BUTTON RED,AB CP1-10 R20  PUSH BUTTON RED,,abb
AB CP1-10Y-10 PUSH BUTTON,AB CP1-10Y-10 PUSH BUTTON,,abb
AB CP3-10R-01,AB CP3-10R-01,,abb
AB CR-MH1 METAL HOLDER,AB CR-MH1 METAL HOLDER,,abb
AB CR-MH  1SVR405659R1000,AB CR-MH  1SVR405659R1000,,abb
AB CR-P048DC2,AB CR-P048DC2,,abb
AB CR-PH HOLDER FOR CR-P SOCKET,AB CR-PH HOLDER FOR CR-P SOCKET,,abb
AB CR-PM MARKER FOR CR-P SOCKET,AB CR-PM MARKER FOR CR-P SOCKET,,abb
AB CR-PSS SOCKET,AB CR-PSS SOCKET,,abb
AB CT-AHE 3-300S,AB CT-AHE 3-300S,,abb
AB CT-ERE 0.3-30S 220V (4100),AB CT-ERE 0.3-30S 220V (4100),,abb
AB CT-YDE S/D TIMER (550207R4100),AB CT-YDE S/D TIMER (550207R4100),,abb
AB DB19  SINGLE MGT KIT,AB DB19  SINGLE MGT KIT,,abb
AB DB 25/25 MTG. KIT,AB DB 25/25 MTG. KIT,,abb
AB DB 25/32 MGT KIT,AB DB 25/32 MGT KIT,,abb
AB DC DP 10A MCB S202M-C10DC,AB DC DP 10A MCB S202M-C10DC,,abb
AB DC DP 16A S202MC-16DC,AB DC DP 16A S202MC-16DC,,abb
AB DC DP 20A S202M-C20DC,AB DC DP 20A S202M-C20DC,,abb
AB DC DP 2A S202M-C2DC,AB DC DP 2A S202M-C2DC,,abb
AB DC DP 32A MCB S202M-C32DC,AB DC DP 32A MCB S202M-C32DC,,abb
AB DC DP 40A MCB S202M-C40DC,AB DC DP 40A MCB S202M-C40DC,,abb
AB DC DP 50A S202M-C50DC,AB DC DP 50A S202M-C50DC,,abb
AB DC DP 63A MCB S202M-C63DC,AB DC DP 63A MCB S202M-C63DC,,abb
AB DC S202M-C6DC DP 6A,AB DC S202M-C6DC DP 6A,,abb
AB DC SB202-C10DC DP 10A,AB DC SB202-C10DC DP 10A,,abb
AB DC SB202-C16 DP 16A,AB DC SB202-C16 DP 16A,,abb
AB DC SB202-C20DC DP 20A,AB DC SB202-C20DC DP 20A,,abb
AB DC SB202-C25DC DP25A,AB DC SB202-C25DC DP25A,,abb
AB DC SB202 C32 DC DP32,AB DC SB202 C32 DC DP32,,abb
AB DC SB202 -C63 DP,AB DC SB202 -C63 DP,,abb
AB DC SB202C6 DC DP 6A,AB DC SB202C6 DC DP 6A,,abb
AB DC SP 10A MCB S201M-C10DC,AB DC SP 10A MCB S201M-C10DC,,abb
AB DC SP 2A  SB201-C2 DC,AB DC SP 2A  SB201-C2 DC,,abb
AB DC SP 6A MCB S201M-C6DC,AB DC SP 6A MCB S201M-C6DC,,abb
AB DIOD BLOCK MDB-1001,AB DIOD BLOCK MDB-1001,,abb
AB E1/6 INTERLOCK W FP-ABD (38364),AB E1/6 INTERLOCK W FP-ABD (38364),,abb
AB E1-6 KEYLOCK IN OPEN POSITION,AB E1-6 KEYLOCK IN OPEN POSITION,,abb
AB E1N 1250/WMP/3P/PR121/LI (55744),AB E1N 1250/WMP/3P/PR121/LI (55744),,abb
AB E1 WFP 4FP/VR-HR NEW (59818),AB E1 WFP 4FP/VR-HR NEW (59818),,abb
AB E1 WFP FP/VR-HR (59818),AB E1 WFP FP/VR-HR (59818),,abb
AB E1 WFP TP HR-HR NEW(59666R1),AB E1 WFP TP HR-HR NEW(59666R1),,abb
AB E203/100R ISOLATOR TP 100A,AB E203/100R ISOLATOR TP 100A,,abb
AB E203/125R ISOLATOR TP 125A,AB E203/125R ISOLATOR TP 125A,,abb
AB E203/80 ISOLATOR TP 80A,AB E203/80 ISOLATOR TP 80A,,abb
AB E204/45R FP ISOLATOR,AB E204/45R FP ISOLATOR,,abb
AB E204/63R ISOLATOR FP,AB E204/63R ISOLATOR FP,,abb
AB E219-C IND.LIGHT RED,AB E219-C IND.LIGHT RED,,abb
AB E242/45 ISO DP 45,AB E242/45 ISO DP 45,,abb
AB E242/63 RT DP ISO,AB E242/63 RT DP ISO,,abb
AB E243/45 TP ISO,AB E243/45 TP ISO,,abb
AB E244/63 ISO FP 63,AB E244/63 ISO FP 63,,abb
AB E272/100 ISO DP 100A,AB E272/100 ISO DP 100A,,abb
AB E273/125 TP ISO,AB E273/125 TP ISO,,abb
AB E274/100  RT FP ISO,AB E274/100  RT FP ISO,,abb
AB E2N/E MS 1250A TP FiXED (59049),AB E2N/E MS 1250A TP FiXED (59049),,abb
AB E4.2N 3200 FP EKIP TOUCH LSIG(71776),AB E4.2N 3200 FP EKIP TOUCH LSIG(71776),,abb
AB E44/45 45A ISO FP,AB E44/45 45A ISO FP,,abb
AB EH04-20,AB EH04-20,,abb
AB EH100-30-11,AB EH100-30-11,,abb
AB EH175-30-11,AB EH175-30-11,,abb
AB EH260-30-11,AB EH260-30-11,,abb
AB EH300-30-11,AB EH300-30-11,,abb
AB EH370-30-11,AB EH370-30-11,,abb
AB EKIP CARTRIDGE 2 SLOT XT2-XT5( 105203),AB EKIP CARTRIDGE 2 SLOT XT2-XT5( 105203),,abb
AB EKIP SUPPLY 24-48V DC E1.2-E6.2(74173),AB EKIP SUPPLY 24-48V DC E1.2-E6.2(74173),,abb
AB ELCB DP 25 030 MA,AB ELCB DP 25 030 MA,,abb
AB ELCB DP 40-30MA (.03),AB ELCB DP 40-30MA (.03),,abb
AB ELCB DP 40A 100MA,AB ELCB DP 40A 100MA,,abb
AB ELCB DP 63-030MA,AB ELCB DP 63-030MA,,abb
AB ELCB DP 63 100MA,AB ELCB DP 63 100MA,,abb
AB ELCB DP 63 300MA,AB ELCB DP 63 300MA,,abb
AB ELCB F204-100-100MA,AB ELCB F204-100-100MA,,abb
AB ELCB FB202-63-100MA  (0.1),AB ELCB FB202-63-100MA  (0.1),,abb
AB ELCB FB204-63-30 ELCB (0.03),AB ELCB FB204-63-30 ELCB (0.03),,abb
AB ELCB FH202-25-30MA DP (0.03),AB ELCB FH202-25-30MA DP (0.03),,abb
AB ELCB FH204-40-30 (0.03),AB ELCB FH204-40-30 (0.03),,abb
AB ELCB FH204-40-300MA (0.3),AB ELCB FH204-40-300MA (0.3),,abb
AB ELCB FP 25 030 MA,AB ELCB FP 25 030 MA,,abb
AB ELCB FP 25 100 MA,AB ELCB FP 25 100 MA,,abb
AB ELCB FP 40 30 MA,AB ELCB FP 40 30 MA,,abb
AB ELCB FP 40A 100MA,AB ELCB FP 40A 100MA,,abb
AB ELCB FP 63A 100MA,AB ELCB FP 63A 100MA,,abb
AB ELCB FP 63A 300MA,AB ELCB FP 63A 300MA,,abb
AB ELCB FP  63A 30MA,AB ELCB FP  63A 30MA,,abb
AB ELEC.TRIP SIGNALLING PR12X E1(58260),AB ELEC.TRIP SIGNALLING PR12X E1(58260),,abb
AB F202-80-300MA,AB F202-80-300MA,,abb
AB F204-AC-100A 100MA RCCD FP,AB F204-AC-100A 100MA RCCD FP,,abb
AB FH202-40-100 ELCB,AB FH202-40-100 ELCB,,abb
AB FUSE 100A (OFAFN00GG100),AB FUSE 100A (OFAFN00GG100),,abb
AB FUSE 10A OFFNF1GG10,AB FUSE 10A OFFNF1GG10,,abb
AB FUSE 160-00 (OFAFN00GG160),AB FUSE 160-00 (OFAFN00GG160),,abb
AB FUSE 16A (OFAFN000GG16),AB FUSE 16A (OFAFN000GG16),,abb
AB FUSE 16A OFFNF1GG16,AB FUSE 16A OFFNF1GG16,,abb
AB FUSE 200A B2 (1SCA107818R001),AB FUSE 200A B2 (1SCA107818R001),,abb
AB FUSE 200A OFAF0H200,AB FUSE 200A OFAF0H200,,abb
AB FUSE 20A OFAFN000GG20A,AB FUSE 20A OFAFN000GG20A,,abb
AB FUSE 250A B3 (1SCAL107819R1001),AB FUSE 250A B3 (1SCAL107819R1001),,abb
AB FUSE 2A OFFNF1GG2,AB FUSE 2A OFFNF1GG2,,abb
AB FUSE 315A OFAFN2GG315,AB FUSE 315A OFAFN2GG315,,abb
AB FUSE 32A (OFAFN000GG32),AB FUSE 32A (OFAFN000GG32),,abb
AB FUSE 32A (OFAFN00GG32),AB FUSE 32A (OFAFN00GG32),,abb
AB FUSE 400A B4 (1SCAL107822R1001),AB FUSE 400A B4 (1SCAL107822R1001),,abb
AB FUSE 500A  C2 (1SCA107824R1001),AB FUSE 500A  C2 (1SCA107824R1001),,abb
AB FUSE 630A C2 (1SCA107825R1001),AB FUSE 630A C2 (1SCA107825R1001),,abb
AB FUSE 63A-00 (ISCA107761R1001),AB FUSE 63A-00 (ISCA107761R1001),,abb
AB FUSE 63A  (1SCA107753R1001),AB FUSE 63A  (1SCA107753R1001),,abb
AB GEARED MOTOR E2.2- E6.2 220-250(73725),AB GEARED MOTOR E2.2- E6.2 220-250(73725),,abb
AB HK1-11,AB HK1-11,,abb
AB HK11 AUX 1NO+1NC FOR MS325,AB HK11 AUX 1NO+1NC FOR MS325,,abb
AB HK4-11 AUX MS450/495/497,AB HK4-11 AUX MS450/495/497,,abb
AB HKF-11,AB HKF-11,,abb
AB HKF1-11,AB HKF1-11,,abb
AB HKF1-20 AUX CONTFOR MPCB,AB HKF1-20 AUX CONTFOR MPCB,,abb
AB HKS4-11,AB HKS4-11,,abb
AB HOD S1-S2,AB HOD S1-S2,,abb
AB HOD S3-S5,AB HOD S3-S5,,abb
AB HOD S6-S7,AB HOD S6-S7,,abb
AB HOD T1-T2-T3 (1SDA051383),AB HOD T1-T2-T3 (1SDA051383),,abb
AB HOD T1-T2-T3 (1SDA070207R1),AB HOD T1-T2-T3 (1SDA070207R1),,abb
AB HOD T1-T3 (DIRECT)51381,AB HOD T1-T3 (DIRECT)51381,,abb
AB HOD T4-T5 (1SDA054929R1),AB HOD T4-T5 (1SDA054929R1),,abb
AB HOD T4-T5 (1SDA070447R1),AB HOD T4-T5 (1SDA070447R1),,abb
AB HOD T4-T5 DIRECT 1SDA054926R1),AB HOD T4-T5 DIRECT 1SDA054926R1),,abb
AB HOD T6  (1SDA060409R1),AB HOD T6  (1SDA060409R1),,abb
AB HOD T6 DIRECT 1SDA060405,AB HOD T6 DIRECT 1SDA060405,,abb
AB HOD T7,AB HOD T7,,abb
AB HOD T7 EXTENED (62122),AB HOD T7 EXTENED (62122),,abb
AB HOD XT1 - XT3 EXTENDED (82810),AB HOD XT1 - XT3 EXTENDED (82810),,abb
AB HOD XT2 - XT4 EXTENDED (82811),AB HOD XT2 - XT4 EXTENDED (82811),,abb
AB HOD XT2-XT4 F/P/ STAND RET(69055),AB HOD XT2-XT4 F/P/ STAND RET(69055),,abb
AB INTERLOCK CABLES 2CB S.VERT-A E1-E6(38333),AB INTERLOCK CABLES 2CB S.VERT-A E1-E6(38333),,abb
AB INTERLOCK FOR FIX CB/MP E3(38367),AB INTERLOCK FOR FIX CB/MP E3(38367),,abb
AB K22E,AB K22E,,abb
