item_code,item_description,MOQ,brand
ETN HMCP250W5C 50A TP MCCB MOTOR PROTECTION,ETN HMCP250W5C 50A TP MCCB MOTOR PROTECTION,0,eaton
ETN HMCP400X5C  400A MCCB CUTLER HAMMER,ETN HMCP400X5C  400A MCCB CUTLER HAMMER,0,eaton
ETN H-P1 3 POLE TERMINAL COVER 17253,ETN H-P1 3 POLE TERMINAL COVER 17253,0,eaton
ETN M22A4 279437 ADAPTER,ETN M22A4 279437 ADAPTER,0,eaton
ETN M22-A FIXING ADAP. 216374,ETN M22-A FIXING ADAP. 216374,0,eaton
ETN M22-AMC BUZZER 229015,ETN M22-AMC BUZZER 229015,0,eaton
ETN M22-CK01 NC ELEMENT 216385,ETN M22-CK01 NC ELEMENT 216385,0,eaton
ETN M22-CK10 NO  ELEMENT 216384 (N),ETN M22-CK10 NO  ELEMENT 216384 (N),0,eaton
ETN M22 CK11  107940,ETN M22 CK11  107940,0,eaton
ETN M22-CLED-W WHITE ELEMENT 216569,ETN M22-CLED-W WHITE ELEMENT 216569,0,eaton
ETN M22-D4-S-X7 286336 JOY STICK,ETN M22-D4-S-X7 286336 JOY STICK,0,eaton
ETN M22-D-B PUSH B BLUE  216600,ETN M22-D-B PUSH B BLUE  216600,0,eaton
ETN M22-DDL-GR-XI/X0  216700,ETN M22-DDL-GR-XI/X0  216700,0,eaton
ETN M22-D-G PUSH BUTTON GREEN 216596,ETN M22-D-G PUSH BUTTON GREEN 216596,0,eaton
ETN M22-D-G-XI GREEN PB 216698,ETN M22-D-G-XI GREEN PB 216698,0,eaton
ETN M22-DH-R PROJECTED HEAD PB IP69 216641,ETN M22-DH-R PROJECTED HEAD PB IP69 216641,0,eaton
ETN M22-DL-B  216931,ETN M22-DL-B  216931,0,eaton
ETN M22-D-L-G 216927,ETN M22-D-L-G 216927,0,eaton
ETN M22-DL-W 216922,ETN M22-DL-W 216922,0,eaton
ETN M22-DP-S BLACK MUSHROOM PB MMT 216712,ETN M22-DP-S BLACK MUSHROOM PB MMT 216712,0,eaton
ETN M22-D-S PUSH BUTTON BK 216590,ETN M22-D-S PUSH BUTTON BK 216590,0,eaton
ETN M22-D-S-X0 BLACK O  216609,ETN M22-D-S-X0 BLACK O  216609,0,eaton
ETN M22-D-W PUSH BUTTON WHITE 216592,ETN M22-D-W PUSH BUTTON WHITE 216592,0,eaton
ETN M22-D-W-X1 PUSH B( 216611),ETN M22-D-W-X1 PUSH B( 216611),0,eaton
ETN M22-D-Y PUSH BUTTON YELLOW  216598,ETN M22-D-Y PUSH BUTTON YELLOW  216598,0,eaton
ETN M22-ES-MS1 SPARE KEY 216416,ETN M22-ES-MS1 SPARE KEY 216416,0,eaton
ETN M22-ES-MS2 SPARE KEY 111764,ETN M22-ES-MS2 SPARE KEY 111764,0,eaton
ETN M22-ES-MS3 SPARE KEY 111766,ETN M22-ES-MS3 SPARE KEY 111766,0,eaton
ETN M22-I3 SF. MTG ENCL(216538),ETN M22-I3 SF. MTG ENCL(216538),0,eaton
ETN M22-IY1 SF. MTG ENCL(216536),ETN M22-IY1 SF. MTG ENCL(216536),0,eaton
ETN M22-K01 NC ELEMENT  216378,ETN M22-K01 NC ELEMENT  216378,0,eaton
ETN M22-K10 216376,ETN M22-K10 216376,0,eaton
ETN M22-KC01 216382 1NO BASE MTD,ETN M22-KC01 216382 1NO BASE MTD,0,eaton
ETN M22-KC10 216380,ETN M22-KC10 216380,0,eaton
ETN M22-L-B 216775,ETN M22-L-B 216775,0,eaton
ETN M22-LED230-R ELEMENT RED 216564,ETN M22-LED230-R ELEMENT RED 216564,0,eaton
ETN M22-LED230-W 216563,ETN M22-LED230-W 216563,0,eaton
ETN M22-LED-B  LED BLUE 218057,ETN M22-LED-B  LED BLUE 218057,0,eaton
ETN M22-LED-G 216559,ETN M22-LED-G 216559,0,eaton
ETN M22-LED-R  216558,ETN M22-LED-R  216558,0,eaton
ETN M22-LED-W WHITE ELEMENT  216557,ETN M22-LED-W WHITE ELEMENT  216557,0,eaton
ETN M22-L-G 216773 GREEN FLAT,ETN M22-L-G 216773 GREEN FLAT,0,eaton
ETN M22-L-R RED FLAT 216772,ETN M22-L-R RED FLAT 216772,0,eaton
ETN M22-L-W WHITE LENS 216771,ETN M22-L-W WHITE LENS 216771,0,eaton
ETN M22-PV EMERGENCY STOP 216876,ETN M22-PV EMERGENCY STOP 216876,0,eaton
ETN M22-PVL RED MUSHROOM HEAD PB WITH LED 216878,ETN M22-PVL RED MUSHROOM HEAD PB WITH LED 216878,0,eaton
ETN M22-PVS45P-RS EME STOP 121466,ETN M22-PVS45P-RS EME STOP 121466,0,eaton
ETN M22-PVS LOCK PB 216879,ETN M22-PVS LOCK PB 216879,0,eaton
ETN M22-R10K POTENTIOMETER 229491,ETN M22-R10K POTENTIOMETER 229491,0,eaton
ETN M22-R1K POTEN.METER 229489,ETN M22-R1K POTEN.METER 229489,0,eaton
ETN-M22-WK3 216870,ETN-M22-WK3 216870,0,eaton
ETN M22-WK SEL SW 216865,ETN M22-WK SEL SW 216865,0,eaton
ETN M22-WKV SEL. SWITCH (216874),ETN M22-WKV SEL. SWITCH (216874),0,eaton
ETN M22-WRK (216867),ETN M22-WRK (216867),0,eaton
ETN-M22-WRK3  216872,ETN-M22-WRK3  216872,0,eaton
ETN M22-WRLK-Y 216829,ETN M22-WRLK-Y 216829,0,eaton
ETN  M22-WRS-A1 KEY OP 2 POS PB 229092,ETN  M22-WRS-A1 KEY OP 2 POS PB 229092,0,eaton
ETN M22-WRS ACTUATOR KEY(216887),ETN M22-WRS ACTUATOR KEY(216887),0,eaton
ETN M22-WRS-MS2  KEY BUTTON 2POS 111778,ETN M22-WRS-MS2  KEY BUTTON 2POS 111778,0,eaton
ETN M22-WRS-MS3 KEY BUTTON 3 POS 111781,ETN M22-WRS-MS3 KEY BUTTON 3 POS 111781,0,eaton
ETN M22-WS 216881 KEY OP 2 POS,ETN M22-WS 216881 KEY OP 2 POS,0,eaton
